Data,Note,,Addr,Values Factor,Bytes
Gerätekennung,,,0x00F8,20CB,2
,,,,,
Temperaturen (Ist-Werte),,,,,
Aussentemperatur (Sensor 1),getTempA,ATS,0x0800,/ 10,
Kesseltemperatur (Sensor 3),getTempKist,KTS,0x0802,/ 10,
Speichertemperatur (Sensor 5),getTempWWist,STS1,0x0804,/ 10,
Speichertemperatur 2 (Sensor 5B),20 Grad?,STS2,0x0806,/ 10,2
Brauchwassertemperatur oben,,,,,
Brauchwassertemperatur unten,,,,,
Abgastemperatur (Sensor 15),getTempAbgas,AGTS,0x0808,/ 10,2
Rücklauftemperatur (17A),20 Grad?,RLTS,0x080A,/ 10,2
Vorlauftemperatur (17B),20 Grad?,VLTS,0x080C,/ 10,2
Vorlauftemperatur Anlage,,,,,
Aussentemperatur Tiefpass,,,0x5525,/ 10,2
Aussentemperatur gedämpft,,,0x5527,/ 10,2
Kesseltemperatur Kessel1,,,,,
Kesseltemperatur Kessel2,,,,,
Kesseltemperatur Kessel3,,,,,
Kesseltemperatur Kessel4,,,,,
Vorlauftemperatur A1M1,,,,,
Vorlauftemperatur M2,,,0x3900,/ 10,2
Vorlauftemperatur M3,,,,,
Rücklauftemperatur M2,,,,,
Kesseltemperatur,,,,,
Speichersolltemperatur ,getTempWWsoll,,0x6300,,1
,,,,,
Kesseltemperatur Tiefpass,,,0x0810,/ 10,2
Speichertemperatur Tiefpass,,STS1,0x0812,/ 10,2
Speichertemperatur 2 Tiefpass,,STS2,0x0814,/ 10,2
Abgastemperatur Tiefpass,,AGTS,,,
Rücklauftemperatur (17A) Tiefpass,,,,,
Rück/Vorlauftemperatur (17B) Tiefpass,,,,,
Raumtemperatur A1M1 Tiefpass,,RTS,0x0896,/ 10,2
Raumtemperatur M2 Tiefpass,,RTS_M2,0x0898,/ 10,2
Raumtemperatur M3 Tiefpass,,,,,
Maximal erreichte Abgastemperatur,FF FF?,,0x089F,,2
,,,,,
Temperaturen (aktuelle Soll-Werte),,,,,
Vorlaufsolltemperatur Anlage,,,,,
Vorlaufsolltemperatur A1M1,,,0x2544,/ 10,2
Raumsolltemperaturaktuell M2,,,0x350C,/ 10,2
Vorlaufsolltemperatur M2,,,0x3544,/ 10,2
Vorlaufsolltemperatur M3,,,,,
Rücklaufsolltemperatur Anlage,,,,,
Kesselsolltemperatur,getTempKsoll,,0x555A,/ 10,2
Kesselsolltemperatur Kessel1,,,,,
Kesselsolltemperatur Kessel2,,,,,
Kesselsolltemperatur Kessel3,,,,,
Kesselsolltemperatur Kessel4,,,,,
,,,,,
Brenner,,,,,
aktuelle Stufe (Brennerstatus),,,,,
aktuelle Leistung (0..100%),,,0xA38F,/ 2,1
Brennerstörung,,,,,
Zustand 1. Stufe,,,,,
Zustand 2. Stufe,,,,,
Oelverbrauch,,,,,
Brennerstarts,,,0x088A,,4
Betriebsstunden Stufe 1,,,0x08A7,Sek,4
Betriebsstunden Stufe 2,,,,,
,,,,,
Solar,,,,,
Kollektortemperatur,,,0x6564,/ 10,2
Betriebsstunden,,,0x6568,,2
Nachladeunterdrückung,,,0x6551,0..1,1
Solarpumpe,,,0x6552,0..1,1
Speichertemperatur,,,0x6566,/ 10,2
Speichertemperatur gedämpft,,,,,
Wärmemenge,,,0x6560,kWh,4
Solar Info,,,0x7754,,1
,,,,,
